institution_location	specimen_origin	collection_code	collection_name	collection_name2
	MEXICO	PMEP	Plantae Mexicanae Purpusianae. Chiapas	
	MEXICO	MPEV	Plantas de Mexico: Veracruz. Sierra Madre Oriental. Municipio de Huayacocotla	
	Texas	PBQC	Plants fo Bosque County, Texas	
	Texas	PCLC	Plants fo Coleman County, Texas	
	Texas	P9K	Plants of 9K Ranch, Culberson Co., Texas. Headquarters on Ranch Rd. 1108 10 mi SSE U.S. Hwy. 62, 31 52 N, 104 28 W; elev. 3700 ft	
	Alabama	PAL	Plants of Alabama	
	Texas	PAC	Plants of Andrews County, Texas	
	Texas	PANC	Plants of Aransas Co., Texas	
	Arizona	PAZ	Plants of Arizona	
	Arizona	PAZ-DD	Plants of Arizona. Collected by Delzie Demaree. Coconino County	
	Arkansas	PAR	Plants of Arkansas	
	Arkansas	PAR-CRC-DD	Plants of Arkansas. Collected by Delzie Demaree. Craighead County	
	Arkansas	PAR-JEC-DD	Plants of Arkansas. Collected by Delzie Demaree. Jefferson County	
	Arkansas	PAR-DRC-DD	Plants of Arkansas. Collected by Delzie Demaree. Watson State Park. Drew County	
	Arkansas	PAR-WSP-JEC-DD	Plants of Arkansas. Collected by Delzie Demaree. Watson State Park. Jefferson County	
	Texas	PARC	Plants of Armstrong County, Texas	Plants of Armstrong [Armstrong] County, Texas
	Texas	PBC	Plants of Bailey County, Texas	
	BELGIUM	PB	Plants of Belgium	
	Texas	PBLC	Plants of Blanco Co., Texas	
	Texas	PBOC	Plants of Borden County	
	BRAZIL	PBR	Plants of Brazil	
	Texas	PBRC	Plants of Brewster County, Texas	
	Texas	PBIC	Plants of Briscoe County, Texas	
	Texas	PBLNWR	Plants of Buffalo Lake National Wildlife Refuge	
	Texas	PBUC	Plants of Burnet Co., Texas	
	California	PCA	Plants of California	
	Carolina	PCNC	Plants of Central North Carolina, collected in the vicinity of Heling's Mill P.O. Rowan County. August 13-18, 1891, by J.K. Small and A.A. Heller	
	New Mexico	PCFC	Plants of Colfax County, New Mexico	
	Colorado	PCO	Plants of Colorado	
	Texas	PCHC	Plants of Concho Co., Texas	
	Texas	PCOC	Plants of Cottle County, Texas	
	Texas	PCRC	Plants of Crosby Co., Texas	
	Texas	PCUC	Plants of Culberson County	
	Texas	CULT	Plants of Cultivation	
	Texas	PDAC	Plants of Dallam County, Texas	
	Texas	PDLC	Plants of Dallas Co., Texas	
	Texas	PDSC	Plants of Deaf Smith County, Texas	
	Texas	PDIC	Plants of Dickens County, Texas	
	Texas	PECC	Plants of Ector County, Texas	
	Texas	PEPC	Plants of El Paso Co., Texas	
	Texas	PEC	Plants of Erath Co., Texas	
	Texas	PFSP	Plants of Falcon State Park, Starr Co., Texas	
	Florida	PFL	Plants of Florida	
	Texas	PFLC	Plants of Floyd Co., Texas	
	Texas	PGC	Plants of Garza Co., Texas	
	Texas	GHWMA	Plants of Gene Howe Wildlife Management Area. 	Plants of the Texas Panhandle. Herbarium of the Gene Howe Wildlife Management Area
	Texas	GHWMA-HC	Plants of Gene Howe Wildlife Management Area. 5 miles East of Canadian, Hemphill County, Texas	
	MEXICO	PG	Plants of Guerrero, Mexico	
	Texas	PHDC	Plants of Hardin Co., Texas	
	Texas	PHRC	Plants of Hartley County, Texas	
	Hawai	PHI	Plants of Hawaii Oahu	
	Texas	PHAC	Plants of Hays County, Texas	
	Texas	PHEC	Plants of Hemphill County, Texas	
	MEXICO	PHD	Plants of Hidalgo, Mexico	
	Texas	PILSP	Plants of Inks Lake State Park	
	Texas	PJEC	Plants of Jeff Davis Co., Texas	
	Kansas	PKS	Plants of Kansas	
	Texas	PKFC	Plants of Kaufman County, Texas	
	Texas	PKNC	Plants of Kent Co., Texas	
	Texas	PKTC	Plants of Kermit County, Texas	
	Texas	PKC	Plants of Kerr Co., Texas	
	Texas	PLAC	Plants of Lamb County, Texas	
	LIBYA	PLY-AA	Plants of Libya - Arnold Arboretum, Harvard University	
	LIBYA	PLY	Plants of Libya - Tripollitania	
	Texas	PLUC	Plants of Lubbock County, Texas	
	Virginia	PL	Plants of Luray, Va. [Virginia]	
Texas		TTU-PMJ	Plants of Maryam Jalali. Texas Tech University	
	Maryland	PMD	Plants of Maryland	
	Massachusetts	PMA	Plants of Massachusetts	
	MEXICO	PME	Plants of Mexico	
	Michigan	PMI	Plants of Michigan	
		PMG	Plants of Middle Georgia. Collected on Little Stone Mountain, De Kalb County, by John K. Small, September 11, 1894	
	Mississippi	PMS	Plants of Mississippi. Collected by Delzie Demaree	
	Missouri	PMO	Plants of Missouri	
	Texas	PMIC	Plants of Mitchell Co., Texas	
	MEXICO	PMR	Plants of Morelos	Plants of Morelos, Mexico
	Texas	PMOC	Plants of Motley Co., Texas	
	Nevada	PNV	Plants of Nevada	
	New Mexico	PNM	Plants of New Mexico	
	New Mexico	PNM-GF	Plants of New Mexico. Collected by Geo L. Fisher, American Botanical Exchange, 611 West Pierce Ave., Houston, Texas, U.S.A.	
	New York	PNY	Plants of New York	
	Texas	POCC	Plants of Ochiltree County, Texas	
	Ohio	POH	Plants of Ohio	
	Oklahoma	POK	Plants of Oklahoma	
	Oklahoma	POK-MCC	Plants of Oklahoma. McCurtain County	
	Oklahoma	POK-PPAC	Plants of Oklahoma. Payne County	
	Oregon	POR	Plants of Oregon	
	New Mexico	POTC	Plants of Otero County, New Mexico	
	Texas	PPPC	Plants of Palo Pinto, Texas	
	Oklahoma	PPAC	Plants of Payne Co., Oklahoma	
	Texas	PPEC	Plants of Pecos County, Texas	
	Texas	PPRC	Plants of Presidio County, Texas	
	Texas	PRC	Plants of Randall Co., Texas	
	Texas	PSJ	Plants of San Jacinto Co., Texas	
	New Mexico	PSMC	Plants of San Miguel Co., New Mexico	
	Texas	PSPC	Plants of San Patricio County, Texas	
	Oklahoma	PSTC	Plants of Stephens Co., Texas	
	Texas	PSUC	Plants of Sutton County, Texas	
	New Mexico	PTAC	Plants of Taos County, New Mexico	
	Texas	PTNC	Plants of Tarrant Co., Texas	
	Texas	PTYC	Plants of Taylor County, Texas	
	Texas	PTX	Plants of Texas	
Texas	Texas	PTTCRF	Plants of Texas Technological College Research Farm, Carson County, Texas	
Texas	Texas	PTX-ABE	Plants of Texas. Collected at Houston, Texas, U.S.A. alt. 50 ft. American Botanical Exchange, 611 West Pierce Ave., Houston, Texas, U.S.A.	
	Texas	PTX-GF	Plants of Texas. Collected by Geo L. Fisher, American Botanical Exchange, 611 West Pierce Ave., Houston, Texas, U.S.A.	
Michigan	Texas	PTX-RV	Plants of Texas. Collected for the Herbarium of the University of Michigan by Rogers McVaugh and A.M. Harvill, Jr.	
Texas	Texas	H-HPC-PTX	Plants of Texas. Herbarium of Howard Payne College	
Texas	Texas	H-LJC-PTX	Plants of Texas. Herbarium of Laredo Junior College	
Texas	Texas	H-SMU-PTX	Plants of Texas. Herbarium of Southern Methodist University	
	Utah	PUT	Plants of Utah	
	Texas	ANF	Plants of the Austro-Riparian biotic province. Angelina National Forest	
	Texas	ANF-TYC	Plants of the Austro-Riparian biotic province. Angelina National Forest. Plants of Tyler Co., Texas	
	Texas	PBBP-CMR	Plants of the Balconian Biotic Province. Central Mineral Region. Plants of Burnet Co., Texas	
	Texas	PBBP	Plants of the Balconian Biotic Province. Edwards Plateau Oak and Juniper. Plants of Uvalde Co., Texas	
	Texas	PBBP-SHNF	Plants of the Balconian Biotic Province. Province Sam Houston National Forest. Plants of San Jacinto Co., Texas	
Michigan	Great Lakes Region	H-CKD-PGLR	Plants of the Great Lakes Region. Herbarium of Chas. K. Dodge, Port Huron, Michigan	
	Texas	PMNWR	Plants of the Muleshoe National Wildlife Refuge, Bailey Co. Texas	
	Texas	PRBWWR	Plants of the Rob and Bessie Welder Wildlife Refuge	[Plants of the] Rob and Bessie Welder Wildlife Refuge
	Texas	PSP	Plants of the South Plains	
		PTBP	Plants of the Tamaulipan Biotic Province	
	Texas	PTXP	Plants of the Texas Panhandle	
Texas	Texas	GHWMA	Plants of the Texas Panhandle. Herbarium of the Gene Howe Wildlife Management Area.	Plants of Texas. Gene Howe Wildlife Management Area,  X Mi. NE Canadian, Hemphill Co., Texas
Oklahoma	Texas	H-OSU-PTP	Plants of the Texas Panhandle. Herbarium of the Oklahoma State University	
		PWP	Plants of the Western Plains	
	Texas	PTP	Plants of Trans-Pecos Texas	
	Texas	PTRC	Plants of Travis County, Texas	
	Texas	PVVC	Plants of Val Verde County, Texas	
Texas	Texas	PVZC	Plants of Van Zandt County, Texas	
	Virginia	PVI	Plants of Virginia	
	Texas	PWC	Plants of Webb County, Texas	
	Texas	PWTP	Plants of West Texas Plains. Collected by Sarah J. Bullock	
	North Carolina	PWNC	Plants of Western North Carolina, collected on Grandfather Mountain, Watauga County, July 11, 1891, by J.K. Small and A.A. Heller	
	North Carolina	PWNC-LB	Plants of Western North Carolina, collected on Lyon's  Bluff, Roan Mountain, Mitchell County, July 16, 1891, by J.K. Small and A.A. Heller	
	Texas	PWLC	Plants of Williamson Co., Texas	
	Texas	PWIC	Plants of Winkler Co., Texas	
	Texas	PWIC-KBP	Plants of Winkler Co., Texas. Kansan Biotic Province	
	Wisconsin	PWI	Plants of Wisconsin	
	Texas	PWC	Plants of Wood Co., Texas	
	Wyoming	PWY	Plants of Wyoming	
	Texas	PZC	Plants of Zavalla Co., Texas	
California	California	RSABG-PC	Rancho Santa Ana Botanic Garden. Plants of California / Rancho Santa Ana Botanic Garden of the Native Plants of California	
Texas		AMCT-RM	Range Management Department. A&M College of Texas	
	Colorado	RMH-CSCES	Range Management Herbarium. Colorado State College and Experiment Station	
		RMFRES	Range Management Herbarium. Rocky Mountain Forest and Range Experiment Station	
Mexico	Baja California	SDMNH	San Diego Museum of Natural History, Baja California, Mexico	
USA		SABC	Southern Appalachian Botanical Club. Ninth Distribution of Southeastern Plants	
Texas		AMCT	Summer Field Expediton. A. and M. College of Texas. Depts. of  Biology and Wildlife Management	
Texas	Texas	H-TTU-PCBSP	Texas Tech University Herbarium. Plants of Copper Breaks State Park. Hardeman County, Texas	
Texas	Texas	H-TTU-FNM	Texas Tech University. E.L. Reed Herbarium. Flora of New Mexico, USA	
Texas	Colorado	TTU-PCO	Texas Tech University. Plants of Colorado	
Texas	Texas	TTU-PCKC	Texas Tech University. Plants of Crockett County	
Texas	Texas	TTU-PCRC	Texas Tech University. Plants of Crosby County, Texas	
		TTU-PCUC	Texas Tech University. Plants of Culberson County	
Texas	Louisiana	TTU-PLA	Texas Tech University. Plants of Louisiana	
Texas		TTU-PMJ	Texas Tech University. Plants of Maryam Jalali	
Texas	Mexico	TTU-PMX	Texas Tech University. Plants of Mexico	
Texas	Montana	TTU-PMO	Texas Tech University. Plants of Montana	
Texas	New Mexico	TTU-PNM	Texas Tech University. Plants of New Mexico	
Texas	Texas	TTU-RGA	Texas Tech University. Plants of Rio Grande Area, Texas	
Texas	Texas	TTU-PTX	Texas Tech University. Plants of Texas	
Texas	Texas	TTU-PTX-KC	Texas Tech University. Plants of Texas. Kimble County	
Texas	Texas	TTU-PTX-LUC	Texas Tech University. Plants of Texas. Lubbock County	
Texas	Texas	TTU-PTX-TAC	Texas Tech University. Plants of Texas. Tarrant County	
Texas	Virginia	TTU-PVI	Texas Tech University. Plants of Virginia	
Texas		H-TTC	Texas Technological College Herbarium	
Texas	Texas	H-TTC-AH-PLUC	Texas Technological College Herbarium. Agronomy Herbarium. Plants of Dickens County, Texas	
Texas	Texas	H-TTC-AH-PLUC	Texas Technological College Herbarium. Agronomy Herbarium. Plants of Lubbock County, Texas	
Texas	Texas	H-TTC-PBWC	Texas Technological College Herbarium. Plants of Brewster County, Texas	
		H-TTC-PBRC	Texas Technological College Herbarium. Plants of Briscoe County, Texas	
Texas	Texas	H-TTC-PCRC	Texas Technological College Herbarium. Plants of Crosby County, Texas	
Texas	Texas	H-TTC-PDAC	Texas Technological College Herbarium. Plants of Dawson County, Texas	
Texas	Texas	H-TTC-PDIC	Texas Technological College Herbarium. Plants of Dickens County, Texas	
Texas	Texas	H-TTC-PECC	Texas Technological College Herbarium. Plants of Ector County, Texas	
Texas	Texas	H-TTC-PELC	Texas Technological College Herbarium. Plants of El Paso County, Texas	
Texas	Texas	H-TTC-PGAC	Texas Technological College Herbarium. Plants of Garza County, Texas	
Texas	Texas	H-TTC-PHAC	Texas Technological College Herbarium. Plants of Hale County, Texas	
Texas	Texas	H-TTC-PHC	Texas Technological College Herbarium. Plants of Hemphill County, Texas	
Texas	Texas	H-TTC-PKC	Texas Technological College Herbarium. Plants of Kaufman County, Texas	
Texas	Texas	H-TTC-PLAC	Texas Technological College Herbarium. Plants of Lamb County, Texas	
Texas	Texas	H-TTC-PLLC	Texas Technological College Herbarium. Plants of Llano County, Texas	
Texas	Texas	H-TTC-PLUC	Texas Technological College Herbarium. Plants of Lubbock County, Texas	
Texas	Texas	H-TTC-PLYC	Texas Technological College Herbarium. Plants of Lynn County, Texas	
Texas	Texas	H-TTC-PMLC	Texas Technological College Herbarium. Plants of McLennan County, Texas	
Texas	Texas	H-TTC-PMIC	Texas Technological College Herbarium. Plants of Midland County, Texas	
Texas	Texas	H-TTC-PMOC	Texas Technological College Herbarium. Plants of Motley County, Texas	
Texas	Texas	H-TTC-PPEC	Texas Technological College Herbarium. Plants of Pecos County, Texas	
Texas	Texas	H-TTC-PRAC	Texas Technological College Herbarium. Plants of Randall County, Texas	
Texas	New Mexico	H-TTC-PSMC	Texas Technological College Herbarium. Plants of San Miguel County, New Mexico	
Texas	Texas	H-TTC-PSWC	Texas Technological College Herbarium. Plants of Swisher County, New Mexico	
Texas	New Mexico	H-TTC-PTAC	Texas Technological College Herbarium. Plants of Taos County, New Mexico	
Texas	Texas	H-TTC-PTEC	Texas Technological College Herbarium. Plants of Terry County, Texas	
Texas	Texas	TTC-AH-PJC	Texas Technological College. Agronomy Herbarium. Plants of Jones County Texas	
Texas		TTC-RMH	Texas Technological College. Range Management Herbarium.	
Texas		TTC-B	Texas Technological College-Botany	
Texas	Texas	TAMU-DB-PTX	The Department of Biology Herbarium. Texas A&M University. Plants of Texas	
New York	Florida	NYBG-EPF	The New York Botanical Garden with the cooperation of Charles Deering. Exploration of Peninsular Florida.	
New York	Florida	NYBG-EEK	The New York Botanical Garden with the cooperation of Charles Deering. Exploration of the Everglade Keys, Tropical Florida	
New York	Florida	NYBG-EE	The New York Botanical Garden with the cooperation of Charles Deering. Exploration of the Everglades	
New York	Florida	NYBG-ETF	The New York Botanical Garden with the cooperation of Charles Deering. Exploration of Tropical Florida.	
New York	Florida	NYBG-EFK	The New York Botanical Garden with the cooperation of Mr. Charles Deering. Exploration of the Florida Keys, Tropical Florida.	
Texas		H-R	The Runyon Herbarium, Brownsville, Texas	
Texas	Mexico	TAMU-TH-PMX	Tracy Herbarium. Texas A&M University. Plants of Mexico	
Texas	Oklahoma	TAMU-TH-POK	Tracy Herbarium. Texas A&M University. Plants of Oklahoma	
Texas	Texas	TAMU-TH-PTX	Tracy Herbarium. Texas A&M University. Plants of Texas	Tracy Herbarium. A.& M. College of Texas. Plants of Texas
Michigan		H-UM-CKD	University of Michigan Herbarium. Charles K. Dodge Collection	
Texas	Georgia	H-UT-PGA	University of Texas Herbarium. Plants of Georgia	
